# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  102       3.714614876758e-10       1.076846212192e-13      -3.294945259705e-12       0.000000000000e+00       9.757321888993e-12       1.400705073957e-12      -6.976529872581e-15 
  103       3.757152817881e-10       1.096113370412e-13      -3.383829042588e-12       0.000000000000e+00       9.509470722495e-12       1.371420368620e-12      -6.890822882552e-15 
  104       3.799955520660e-10       1.115129286727e-13      -3.472625872344e-12       0.000000000000e+00       9.269560456089e-12       1.343004803670e-12      -6.802496172944e-15 
  105       3.843016029079e-10       1.133874819615e-13      -3.561257617425e-12       0.000000000000e+00       9.037347436030e-12       1.315508713105e-12      -6.715445431564e-15 
  106       3.886323985762e-10       1.152330747053e-13      -3.649640832034e-12       0.000000000000e+00       8.812581791504e-12       1.288969462522e-12      -6.634865024058e-15 
  107       3.929867186065e-10       1.170477744714e-13      -3.737690265150e-12       0.000000000000e+00       8.594940428269e-12       1.263420526511e-12      -6.566322955449e-15 
  108       3.973633559207e-10       1.188296711202e-13      -3.825323016184e-12       0.000000000000e+00       8.384077884561e-12       1.238871000737e-12      -6.514019841276e-15 
  109       4.017617536634e-10       1.205769776091e-13      -3.912471616992e-12       0.000000000000e+00       8.179791312231e-12       1.215241448684e-12      -6.475289599451e-15 
  110       4.061814402695e-10       1.222879437599e-13      -3.999072662393e-12       0.000000000000e+00       7.981872841057e-12       1.192419358403e-12      -6.445394985753e-15 
  111       4.106218286526e-10       1.239608266960e-13      -4.085062849197e-12       0.000000000000e+00       7.790056662290e-12       1.170278358819e-12      -6.419203912077e-15 
  112       4.150822185144e-10       1.255938947320e-13      -4.170376109772e-12       0.000000000000e+00       7.604058363700e-12       1.148692263991e-12      -6.391411492532e-15 
  113       4.195618122526e-10       1.271854373203e-13      -4.254934511911e-12       0.000000000000e+00       7.423702260669e-12       1.127580001136e-12      -6.357257872611e-15 
  114       4.240596934973e-10       1.287337583505e-13      -4.338656288966e-12       0.000000000000e+00       7.248806913343e-12       1.106865669798e-12      -6.311883642068e-15 
  115       4.285748170108e-10       1.302371745110e-13      -4.421458661428e-12       0.000000000000e+00       7.079144168522e-12       1.086464405816e-12      -6.250099497229e-15 
  116       4.331061090618e-10       1.316940430493e-13      -4.503260260804e-12       0.000000000000e+00       6.914475506149e-12       1.066319627201e-12      -6.168751719867e-15 
  117       4.376527908986e-10       1.331028465544e-13      -4.583988703373e-12       0.000000000000e+00       6.754668957844e-12       1.046520404085e-12      -6.074160120854e-15 
  118       4.422140873180e-10       1.344621205748e-13      -4.663573969789e-12       0.000000000000e+00       6.599593952513e-12       1.027197990431e-12      -5.975575238777e-15 
  119       4.467891228102e-10       1.357704291793e-13      -4.741946114600e-12       0.000000000000e+00       6.449083905111e-12       1.008489722259e-12      -5.882900352813e-15 
  120       4.513769185034e-10       1.370263662814e-13      -4.819035302591e-12       0.000000000000e+00       6.302935209435e-12       9.905391175016e-13      -5.806705335052e-15 
  121       4.559764320495e-10       1.382285694937e-13      -4.894770905480e-12       0.000000000000e+00       6.160939810688e-12       9.734455548769e-13      -5.754976254408e-15 
  122       4.605866890658e-10       1.393757606990e-13      -4.969078595086e-12       0.000000000000e+00       6.022989377901e-12       9.571064435411e-13      -5.722904847563e-15 
  123       4.652066613542e-10       1.404667127306e-13      -5.041882977723e-12       0.000000000000e+00       5.888981450763e-12       9.413567338019e-13      -5.701927812488e-15 
  124       4.698352226579e-10       1.415002386777e-13      -5.113108531864e-12       0.000000000000e+00       5.758786222040e-12       9.260173817738e-13      -5.682871791870e-15 
  125       4.744711459550e-10       1.424751933120e-13      -5.182679636852e-12       0.000000000000e+00       5.632245803340e-12       9.108950393647e-13      -5.655940690421e-15 
  126       4.791131875678e-10       1.433904949917e-13      -5.250521776168e-12       0.000000000000e+00       5.509198342323e-12       8.958238088725e-13      -5.612832984665e-15 
  127       4.837603559265e-10       1.442451911221e-13      -5.316565239009e-12       0.000000000000e+00       5.389554998545e-12       8.807964683451e-13      -5.553389492912e-15 
  128       4.884116680025e-10       1.450384027680e-13      -5.380741890258e-12       0.000000000000e+00       5.273230261287e-12       8.658474573715e-13      -5.479671234626e-15 
  129       4.930660631629e-10       1.457693063981e-13      -5.442984070263e-12       0.000000000000e+00       5.160117329849e-12       8.510121375138e-13      -5.393899548370e-15 
  130       4.977224011147e-10       1.464371354653e-13      -5.503224632357e-12       0.000000000000e+00       5.050087565680e-12       8.363267977373e-13      -5.298459382055e-15 
  131       5.023794932987e-10       1.470411916740e-13      -5.561396618495e-12       0.000000000000e+00       4.943009155079e-12       8.218380826663e-13      -5.196252626878e-15 
  132       5.070362052655e-10       1.475808768058e-13      -5.617432166949e-12       0.000000000000e+00       4.838806539391e-12       8.076324173677e-13      -5.091794292019e-15 
  133       5.116913615284e-10       1.480556673376e-13      -5.671263556966e-12       0.000000000000e+00       4.737406401463e-12       7.938097877729e-13      -4.990241575504e-15 
  134       5.163437113025e-10       1.484651066942e-13      -5.722823594712e-12       0.000000000000e+00       4.638718620425e-12       7.804746731249e-13      -4.897060106856e-15 
  135       5.209919266813e-10       1.488088068950e-13      -5.772045648277e-12       0.000000000000e+00       4.542635857127e-12       7.677361168004e-13      -4.818029666523e-15 
  136       5.256346625656e-10       1.490864627902e-13      -5.818864309475e-12       0.000000000000e+00       4.449049950112e-12       7.556715804484e-13      -4.757438065721e-15 
  137       5.302707473585e-10       1.492978929541e-13      -5.863217383000e-12       0.000000000000e+00       4.357903910360e-12       7.442141039752e-13      -4.712438189497e-15 
  138       5.348990087821e-10       1.494430061956e-13      -5.905044171879e-12       0.000000000000e+00       4.269144584844e-12       7.332534650759e-13      -4.678110957983e-15 
  139       5.395182124972e-10       1.495217910634e-13      -5.944284907944e-12       0.000000000000e+00       4.182706028726e-12       7.226711799503e-13      -4.649218510256e-15 
  140       5.441270606784e-10       1.495343175746e-13      -5.980880790866e-12       0.000000000000e+00       4.098509199062e-12       7.123403408700e-13      -4.620198254561e-15 
  141       5.487241905888e-10       1.494807389431e-13      -6.014774027195e-12       0.000000000000e+00       4.016461648515e-12       7.021254537451e-13      -4.585156918525e-15 
  142       5.533082264501e-10       1.493613000437e-13      -6.045907894334e-12       0.000000000000e+00       3.936471626867e-12       6.919089735356e-13      -4.539151346843e-15 
  143       5.578779439057e-10       1.491763601085e-13      -6.074226857173e-12       0.000000000000e+00       3.858492621545e-12       6.816742435585e-13      -4.482187779515e-15 
  144       5.624321193625e-10       1.489263755921e-13      -6.099676537324e-12       0.000000000000e+00       3.782482707217e-12       6.714305748838e-13      -4.415612806389e-15 
