# Matter power spectrum P(k) at redshift z=0
# for k=1.03125e-05 to 1.72133 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.129522524734e-01       4.872739809428e+03 
       1.161229884927e-01       4.751349506700e+03 
       1.192942267280e-01       4.641268865507e+03 
       1.224657739799e-01       4.533188696277e+03 
       1.256375126458e-01       4.419525893726e+03 
       1.288093710749e-01       4.295036177825e+03 
       1.319813055394e-01       4.157105807282e+03 
       1.351532892807e-01       4.005747727266e+03 
       1.383253058564e-01       3.843279333421e+03 
       1.414973451012e-01       3.673735902522e+03 
       1.446694006738e-01       3.502152077903e+03 
       1.478414685669e-01       3.333798255959e+03 
       1.510135462020e-01       3.173578963428e+03 
       1.541856318795e-01       3.025515962542e+03 
       1.573577244427e-01       2.892428067405e+03 
       1.605298230748e-01       2.775811688052e+03 
       1.637019271729e-01       2.675851542578e+03 
       1.668740362724e-01       2.591545542568e+03 
       1.700461499996e-01       2.520943912690e+03 
       1.732182680425e-01       2.461385875680e+03 
       1.763903901323e-01       2.409823395342e+03 
       1.795625160321e-01       2.363085270726e+03 
       1.827346455293e-01       2.318728654147e+03 
       1.859067784306e-01       2.273663974575e+03 
       1.890789145586e-01       2.225698539610e+03 
       1.922510537496e-01       2.173486535731e+03 
       1.954231958513e-01       2.116540191505e+03 
       1.985953407223e-01       2.055196138238e+03 
       2.017674882303e-01       1.990477188384e+03 
       2.049396382514e-01       1.923879747797e+03 
       2.081117906697e-01       1.857089475978e+03 
       2.112839453762e-01       1.791738389278e+03 
       2.144561022686e-01       1.729270624959e+03 
       2.176282612505e-01       1.670806316095e+03 
       2.208004222313e-01       1.617124553303e+03 
       2.239725851253e-01       1.568653487486e+03 
       2.271447498519e-01       1.525485589016e+03 
       2.303169163348e-01       1.487382330461e+03 
       2.334890845019e-01       1.453808026961e+03 
       2.366612542851e-01       1.423974540528e+03 
       2.398334256198e-01       1.396926875057e+03 
       2.430055984449e-01       1.371649310989e+03 
       2.461777727023e-01       1.347172033662e+03 
       2.493499483371e-01       1.322672586549e+03 
       2.525221252970e-01       1.297530381551e+03 
       2.556943035324e-01       1.271360503577e+03 
       2.588664829961e-01       1.244000664222e+03 
       2.620386636433e-01       1.215494148504e+03 
       2.652108454313e-01       1.186054143047e+03 
       2.683830283193e-01       1.156038714248e+03 
       2.715552122686e-01       1.125904161794e+03 
       2.747273972421e-01       1.096170035781e+03 
